respondent_id,leader
471,Colin Ware
472,Hadley Wickham
475,Kelly Martin
475,Alberto Cairo
478,Alberto Cairo
478,Mike Bostock
478,Gregor Aisch
479,Andrew Cardno
479,Elijah Meeks
480,Andy Kirk
480,Edward Tufte
480,Stephen Few
480,Tableau
481,Eric Rodenbeck
482,Lisa Charlotte Rost
483,Mike Bostock
484,Mike Bostock
485,Mike bostock
485,Elijah Meeks
485,Nadieh Bremer
485,Susie Lu
486,Nathan Yau
486,Alberto Cairo
486,Andy Cotgreave
486,Elijah Meeks
486,Robert Kosara
494,Jason Sundram
495,Tableau Zen Masters
496,Steven Franconeri
496,Jeff Heer
496,Jessica Hullman
497,Giorgia Lupi
497,Alberto Cairo
497,Robert Kosara
497,Elijah Meeks
497,Jeff Heer
500,Giorgia Lupi
500,Nadieh Bremer
500,Amanda Cox
500,Fernanda Viegas
500,Martin Wattenberg
500,Jeff Heer
500,Mike Bostock
500,Alberto Cairo
501,Andy Cotgreave
502,Jon Schwabish
502,Cole Knaflic
502,Alberto Cairo
503,Lynn Cherny
504,Mike Bostock
509,Andy Cotgreave
510,Andy Kirk
511,Andy Kirk
511,Alberto Cairo
511,Stephanie Evergreen
512,Cesar Hidalgo
513,Giorgia Lupi
513,Sheelagh Carpendale
514,Hadley Wickham
525,Elijah Meeks
525,Mike Bostock
525,Edward Tufte
526,Alberto Cairo
526,Scott Murray
526,Mike Bostock
527,Elijah Meeks
527,Susie Lu
527,Nadiah Bremer
527,Andy Kirk
527,Enrico Bertini
527,Moritz Stefaner
528,Mike Bostock
537,Edward Tufte
537,Hadley Wickham
537,Mike Bostock
537,New York Times
538,Mike Bostock
538,Elijah Meeks
538,Shirley Wu
538,Nadieh Bremer
543,Moritz Stefaner
545,Alberto Cairo
546,Alberto Cairo
547,Alberto Cairo
547,Cole Knaflic
547,Stephen Few
548,Alberto Cairo
548,Maarten Lambrechts
548,Robert Kosara
549,Andy Kirk
550,Andy Kirk
551,Andy Kirk
551, RJ Cooper
551, Amanda Cox
551, Giorgia Lupi
551, Alberto Cairo
552,Ben Fry
552,David McCandless
552,Moritz Stefaner
552,Martin Wattenberg
552,Fernanda Viegas
552,Amanda Cox
552,Gregor Aisch
553,Bret Victor
554,Cole Knaflic
554,Alberto Cairo
555,Edward Tufte
556,Elijah Meeks
557,Elijah Meeks
558,Elijah Meeks
559,Elijah Meeks
559,Moritz Stefaner
559,Enrico Bertini
559,Nadieh Bremer
559,Amanda Cox
559,Alberto Cairo
560,Elijah Meeks
560,Susie Lu
560,Rachel Binx
560,Enrico Bertini
560,Nicolas Belmonte
560,Moritz Stefaner
560,Fernanda Viega
560,Martin Wattenberg
560,Amanda Cox
560,Andy Kirk
560,Danyel Fisher
560,Mirah Meyer
561,Hans Rosling
561,Hadley Wickham
562,Mike Bostock
563,Mike Bostock
564,Mike Bostock
564,Bret Victor
565,Moritz Stefaner
565,Alberto Cairo
565,Jeff Heer
566,Nathan Yau
567,Nathan Yau
568,Robert Kosara
568,Andy Kirk
568,Cole Knaflic
569,Stephanie Evergreen
569,Ann Emery
570,Stephen Few
571,Stephen Few
572,Stephen Few
572,Alberto Cairo
573,Stephen Few
573,Edward Tufte
573,Mike Bostock
574,Tamara Munzner
575,Wall Street Journal
576,Zan Armstrong
576,Elijah Meeks
576,Bret Victor
576,Tony Chu
600,Elijah Meeks
600,Edward Tufte
602,Andy Kirk
603,Cole Knaflic
603,Stephen Few
604,Edward Tufte
605,Edward Tufte
605,Alberto Cairo
605,Hadley Wickham
606,ESRI
606,Mapbox
607,Jean-Daniel Fekete
607,Stephen North
608,Mike Bostock
609,Tableau
620,538
620,New York Times
620,Washington Post
620,Elliot Morris
620,Harry Entin
621,Elijah Meeks
621,Nadieh Bremer
621,Alli Torban
621,Moritz Stefaner
621,Mike Cisneros
621,Hadley Wickham
621,Amanda Cox
622,Mike Bostock
623,Mike Bostock
623,Hadley Wickham
